Test Hour,Predicted Price,No Twitter Predicted Price,Actual Price
111,733.8333697684736,734.0673993352784,721.9199829101562
112,722.7253132261719,747.9744620969968,743.6799926757812
113,785.0603147748441,785.1958421468253,772.0
114,763.1766405317023,763.278775944792,782.760009765625
115,768.2240087468087,767.7585143493006,767.1832885742188
116,732.7685271805324,733.5299130924495,765.3822021484375
117,737.8563964624047,736.306766414501,730.8543701171875
118,750.417250496587,750.030918581363,745.311279296875
119,743.0469490102575,746.4290049056972,745.5050048828125
120,754.9474534318931,750.2464966619837,741.7039794921875
121,735.9019288314655,736.0540796264058,744.4030151367188
122,715.4553385427187,746.1484960547632,730.409423828125
123,738.9315982788487,738.3491996258481,750.2650146484375
124,737.0830359658755,736.5915143712873,740.2050170898438
125,740.7880001891601,740.1426446127689,732.510009765625
126,732.2331900047918,731.2322912084155,749.5
127,735.8284607591283,735.1459740971432,728.25927734375
128,738.2343592255424,737.9179821833486,738.6351928710938
129,727.2664898234764,726.9022565492878,735.0
130,731.8327989471138,731.3879026440654,728.4758911132812
131,731.1619555031446,730.1193206725393,730.7097778320312
132,727.1214487159411,725.5510438609153,727.6749877929688
133,699.3624422678847,702.3352045054298,723.6199951171875
134,711.6695050030664,709.4009734889942,689.9819946289062
135,697.384488185746,697.9885617431237,702.2692260742188
136,695.0304745284473,694.4689777089034,691.7640991210938
137,701.9686384029499,699.5431564932906,690.489990234375
138,691.5858239393782,693.8024955115498,688.6799926757812
